#,万象,墨奇,野鹤,自然码,虎码首末,五笔前2,汉心码,首右,首右Plus
追,辶𠂤 zv,辶㠯 zl,辶㠯 zk,辶𠂤zv,丿辶 tu,wn,辶一 za,丿辶 pz,丿辶pz
對,业寸 yc,业寸 yc,业寸 yc,寸土ct｜寸王cw,业寸 ck,og,,丨一 sh,
敦,亠攵 ww,亠攵 ww,亠攵 ww,攵享wx,攵 gh,yb,亠攵 ww,丶丿 dp,亠攵ww
対,文寸 wc,文寸 wc,文寸 wc,寸文cw｜文寸wc,文寸 vk,yf,,丶一 dh,
隊,阝豕 eu,⻖豕 eu,⻖豕 eu,阝豕eu,阝豕 tj,bu,,乛丶 vd,
兌,八兄 bx,八兄 bx, be,八兄bx｜儿口ek,八儿 hp,wk,,丿乛 pv,
憝,亠忄 wx,亠心 wx,亠心 wx,心敦xd,心 gh,yb,亠心 wx,丶忄 dx,亠忄wx
镦,钅亠 jw,钅攵 jw,钅攵 jw,钅敦jd,钅攵 zh,qy,钅攵 jw,钅丶 jd,钅亠jw
懟,业心 yx,业心 yx,业心 yx,心對xd,业心 ch,og,,丨忄 sx,
兊,儿公 eg,公儿 ge,石丰 be,八允by｜儿公eg,八儿 hp,wc,,丿乛 pv,
塠,土追 tv,土㠯 tl,耒口 tz,土追tv,土辶 gu,fw,,土丿 tp,
敓,八攵 bw,八攵 bw,虫干 bw,攵兑wd,八攵 hh,wk,,丿丿 pp,
濻,氵貝 db,氵貝 db,𧾷貝 db,.dg｜氵隤dt,氵貝 ko,ib,,氵乛 uv,
瀢,氵遺 dy,氵貝 db,⻖方 dz,氵遺dy,氵辶 ku,ik,,氵口 uk,
啍,口子 kz,口子 kz,口子 kz,口享kx,口子 dh,ky,,口丶 kd,
敚,丷攵 bw,丷攵 bw,土⻏ bw,攵兑wd,丷攵 hh,uk,,丶丿 dp,
轛,車寸 ic,車寸 ic,土巾 ic,車對id,車寸 yk,lo,,一丨 hs,
杸,木殳 mu,木殳 mu,疒口 my,木殳mu,木殳 er,sm,,木丿 mp,
濧,氵寸 dc,氵寸 dc,氵寸 dc,氵對dd,氵寸 kk,io,,氵丨 us,
瀩,. dt,氵頁 dy, db,.dt,氵頁 kw,it,,氵禾 ue,
鐓,金攵 jw,金攵 jw,金攵 jw,金敦jd,金攵 zh,qy,,钅丶 jd,
鐜,亠金 wj,亠金 wj,亠金 wj,金敦jd,金 gz,yb,,丶钅 dj,
㙂,土兑 td,土兄 tx, te,土兑td,土儿 gp,fu,,,
㟋,山兑 ud,山兄 ux, ee,山兑ud,山儿 vp,mu,,,
㠚,山對 ud,山寸 uc, ec,山對ud,山寸 vk,mo,,,
㬣,日寸 oc,日寸 oc,日寸 oc,日對od,日寸 ok,jo,,,
㳔,氵寸 dc,氵寸 dc,氵寸 dc,氵对dd,氵寸 kk,ic,,,
㵽,氵田 dt,氵田 dt,石丰 dt,.dl,氵田 kq,il,,,
䇏,立子 lz,立子 lz,立子 lz,立享lx,立子 ih,uy,,,
䇤,𥫗丙 vb,竹内 vn, vb,𥫗丙vb,⺮人 rj,tg,,,
䔪,艹爽 cu,艹人 cr, cx,艹爽cu,艹乂 lb,ad,,,
䨴,雨寸 yc,雨寸 yc,雨寸 yc,雨對yd,⻗寸 tk,fo,,,
䨺,雨雲 yy,雨云 yy, ys,雨雲yy,⻗云 tb,ff,,,
䬈,風兑 fd,風兄 fx, je,風兑fd,⺇儿 op,mt,,,
䬽,飠兑 ud,飠兄 ux, re,飠兑ud,飠儿 qp,wy,,,
䯟,冎豕 gu,冎豕 gu,冎豕 gu,.gs,骨豕 fj,me,,,
垖,. tv,土㠯 tl, tk,.tv,土㠯 gk,fw,,土丿 tp,
憞,忄攵 xw,忄攵 xw,耒口 xw,心敦xd,忄攵 hh,ny,,忄丶 xd,
痽,疒隹 bv,疒{隹右} bv, bf,疒隹bv,疒隹 au,uw,,丶一 dh,
磓,石追 uv,石㠯 ul, uz,石追uv,石辶 mu,dw,,一丿 hp,
綐,糸兑 sd,糹兄 sx, ye,糸兑sd,糹儿 ip,xu,,纟丶 id,
薱,艹寸 cc,艹寸 cc,艹寸 cc,艹對cd,艹寸 lk,ao,,艹丶 cd,
譈,言敦 yd,訁攵 yw, ww,言敦yd,言攵 sh,yy,,讠丶 ad,
譵,言對 yd,訁寸 yc, wc,言對yd,言寸 sk,yo,,讠丨 as,
陮,耳隹 ev,⻖{隹右} ev, ef,耳隹ev,阝隹 tu,bw,,乛人 vr,
頧,. yv,丿頁 py, pb,.vy｜.yv,丿頁 tw,wn,,丿一 ph,
鴭,丿鳥 pn,丿鳥 pn,丿鳥 pn,女𠂤nv,丿鳥 tx,wn,,丿丿 pp,
𠂤,. vv,丿㠯 pl,虫干 pk,.vv｜.pk,丿㠯 tk,wn,,,
