#,万象,墨奇,野鹤,自然码,虎码首末,五笔前2,汉心码,首右,首右Plus
喾,𰃮口 xk,𰃮口 xk,𭕄口 xk,丶告dg｜告冖gb,⺍口 kd,ip,⺍口 ek,丶口 dk,丶口dk
刳,大刂 dd,大刂 dd,大刂 dd,刂夸dk,大刂 mp,df,大刂 dd,一丨 hs,大刂lo
骷,骨古 gg,冎古 gg,骨口 gk,骨古gg,骨古 fc,me,骨口 gk,丨一 sh,丨十sf
绔,纟夸 sk,纟丂 sk,纟亏 sk,纟夸sk,纟ㄅ ia,xd,纟亏 sk,纟一 ih,纟大il
矻,石乞 uq,石乙 uv,石乞 uq,石乞uq,石乙 ma,dt,石乙 uy,一丿 hp,石丿bp
圐,囗方 kf,囗方 kf,囗方 kf,囗方kf,囗方 rl,ll,囗方 wf,丨一 sh,丨丿sp
跨,足夸 zk,𧾷丂 zk,𧾷亏 zk,足夸zk,⻊ㄅ pa,kh,𧾷亏 zk,⻊一 zh,⻊大zl
夸,大亏 dk,大丂 dk,大亏 dk,大亏dk,大ㄅ ma,df,大亏 dk,一乛 hv,大乛lv
垮,土夸 tk,土丂 tk,土亏 tk,土夸tk,土ㄅ ga,fd,土亏 tk,土一 th,土大tl
胯,月夸 ok,⺼丂 ok,月亏 ok,月夸ok,月ㄅ va,ed,月亏 ok,月一 yh,月大yl
侉,亻夸 rk,亻丂 rk,亻亏 rk,亻夸rk,亻ㄅ ja,wd,亻亏 rk,人一 rh,人大rl
快,忄夬 xg,忄夬 xg,忄夬 xg,忄丶xd｜忄夬xg,忄人 hj,nn,忄乀 xn,忄乛 xv,忄乛xv
块,土夬 tg,土夬 tg,土夬 tg,土丶td｜土夬tg,土人 gj,fn,土乀 tn,土乛 tv,土乛tv
筷,竹夬 vg,竹夬 vg,𥫗夬 vg,竹快vk,⺮人 rj,tn,𥫗快 vk,⺮丶 gd,⺮丶gd
哙,口会 kh,口云 ky,口厶 ks,口会kh,口云 db,kw,口厶 kv,口人 kr,口人kr
脍,月会 oh,⺼云 oy,月厶 os,月会oh,月云 vb,ew,月厶 ov,月人 yr,月人yr
郐,人阝 re,𠆢⻏ re,人阝 re,耳会eh,人阝 jt,wf,人⻏ re,人乛 rv,人阝re
侩,亻会 rh,亻云 ry,亻厶 rs,亻会rh,亻云 jb,ww,亻厶 rv,人人 rr,人人rr
蒯,艹刂 cd,艹刂 cd,艹刂 cd,刂朋dp,艹刂 lp,ae,艹刂 cd,艹丨 cs,艹刂co
鲙,鱼会 yh,鱼云 yy,鱼厶 as,鱼会yh,鱼云 wb,qg,⺈厶 ev,丿人 pr,⺈人gr
狯,犭会 qh,犭云 qy,犭厶 qs,犭会qh,犭云 mb,qt,犭厶 qv,丿人 pr,犭人qr
㧟,扌匚 fk,扌匚 fk,扌匚 fk,扌汇fh,扌匚 un,ri,扌匚 fk,扌氵 fu,扌氵fu
款,士人 ur,士欠 tq,士人 ur,欠示qu,士欠 ge,ff,士人 ur,土丿 tp,土⺈tg
宽,宀见 bj,宀见 bj,宀<见下部> be,宀见bj｜.jb,宀见 we,pa,宀见 gj,宀乛 bv,宀乛bv
髋,冎见 gj,冎见 gj,骨<见下部> ge,骨宽gk,骨见 fe,me,骨见 gj,丨宀 sb,丨宀sb
狂,犭王 qw,犭王 qw,犭王 qw,犭王qw,犭王 mn,qt,犭王 qw,丿王 pw,犭王qw
框,木王 mw,木王 mw,木王 mw,木匡mk,木王 en,sa,木王 lw,木一 mh,木一mh
矿,石广 ug,石广 ug,石广 ug,石广ug,石广 mx,dy,石广 ug,一丶 hd,石广bx
筐,竹王 vw,竹王 vw,𥫗王 vw,𥫗匡vk,⺮王 rn,ta,𥫗王 vw,⺮乛 gv,⺮乛gv
况,冫儿 de,冫兄 dx,冫儿 de,冫兄dx,冫儿 wp,uk,冫儿 de,丶口 dk,丶口dk
哐,口王 kw,口王 kw,口王 kw,口匡kk,口王 dn,ka,口王 kw,口一 kh,口一kh
匡,匚王 kw,匚王 kw,匚王 kw,匚王kw,匚王 nn,ag,匚王 kw,一乛 hv,一乛hv
旷,日广 og,日广 og,日广 og,日广og,日广 ox,jy,日广 og,日丶 ld,日广lx
诓,讠王 yw,讠王 yw,讠王 yw,言匡yk,讠王 sn,ya,讠王 yw,讠一 ah,讠一ah
邝,广⻏ ge,广⻏ ge,广阝 ge,耳广eg,广阝 xt,yb,广⻏ ge,丶乛 dv,广阝xe
诳,讠王 yw,讠王 yw,讠王 yw,言狂yk,讠王 sn,yq,讠王 yw,讠丿 ap,讠犭aq
眶,目王 ow,目王 ow,目王 ow,目匡ok,目王 qn,ha,目王 mw,丨一 sh,目一lh
圹,土广 tg,土广 tg,土广 tg,土广tg,土广 gx,fy,土广 tg,土丶 td,土广tx
贶,贝兄 bx,贝兄 bx,冂儿 ke,贝兄bx,贝儿 op,mk,贝儿 be,丨口 sk,贝口bk
纩,纟广 sg,纟广 sg,纟广 sg,纟广sg,纟广 ix,xy,纟广 sg,纟丶 id,纟广ix
夼,大川 di,大川 di,大川 di,大川di,大川 mo,dk,大川 di,一丨 hs,大丨ls
洭,氵王 dw,氵王 dw,氵王 dw,氵匡dk,氵王 kn,ia,氵王 dw,氵一 uh,氵一uh
𫛭,犭鸟 qn,犭鸟 qn,犭鸟 qn,.nk｜狂鸟kn,犭鸟 mx,qt,犭鸟 qn,,
亏,一丂 ak,一丂 ak,二乛 ev,一丂ak｜二㇉eg,二ㄅ ma,fn,二乛 ev,一乛 hv,一乛hv
奎,大土 dt,大土 dt,大土 dt,大圭dg,大土 mg,df,大土 dt,一土 ht,大土lt
窥,宀规 bg,宀见 bj,宀<见下部> be,穴规xg｜宀规bg,穴见 ee,pw,宀见 gj,宀乛 bv,宀乛bv
蝰,虫土 it,虫土 it,虫土 it,虫奎ik,虫土 cg,jd,虫土 it,虫一 oh,虫大ol
盔,𠂇皿 um,𠂇皿 um,𠂇皿 um,皿灰mh,𠂇皿 na,do,灰皿 hm,一一 hh,一一hh
葵,艹天 ct,艹天 ct,艹天 ct,艹癸cg｜艹天ct,艹大 lm,aw,艹天 ct,艹丶 cd,艹大cl
夔,丷夂 bw,丷夂 bw,丷夂 bw,夂八wb｜丷夒bn｜䒑攵qw,䒑夊 hh,uh,丷夂 ew,丶丶 dd,丶攵dw
魁,鬼斗 gd,鬼斗 gd,鬼十 gu,鬼斗gd,鬼斗 aj,rq,鬼十 gu,丿丨 ps,丿十pf
愧,忄鬼 xg,忄鬼 xg,忄鬼 xg,忄鬼xg,忄鬼 ha,nr,忄厶 xv,忄丿 xp,忄丿xp
揆,扌天 ft,扌天 ft,扌天 ft,扌癸fg｜扌天ft,扌大 um,rw,扌天 ft,扌乛 fv,扌乛fv
馈,饣人 ur,饣贝 ub,饣人 ur,饣贵ug,饣贝 qo,qn,饣人 ur,丿口 pk,饣口sk
逵,辶土 zt,辶土 zt,辶土 zt,辶土zt,土辶 gu,fw,辶土 zt,土辶 tz,土辶tz
愦,忄人 xr,忄贝 xb,忄人 xr,忄贵xg,忄贝 ho,nk,忄人 xr,忄口 xk,忄口xk
睽,目天 ot,目天 ot,目天 ot,目癸og｜目天ot,目大 qm,hw,目天 mt,丨乛 sv,目乛lv
櫆,木魁 mk,木斗 md,木十 mu,木魁mk,木斗 ej,sr,木十 lu,木丿 mp,木丿mp
馗,九自 jz,九自 jz,九自 jz,九首ju,九自 ko,vu,九目 jm,丿一 ph,丿目pl
骙,马天 mt,马天 mt,马天 mt,马癸mg｜马天mt,马大 nm,cw,马天 mt,乛乛 vv,乛乛vv
聩,耳人 er,耳贝 eb,耳人 er,耳贵eg,耳贝 qo,bk,耳人 er,一口 hk,一口hk
跬,⻊土 zt,𧾷土 zt,𧾷土 zt,足圭zg,⻊土 pg,kh,𧾷土 zt,⻊土 zt,⻊土zt
煃,火土 ht,火土 ht,火土 ht,火奎hk,火土 cg,od,火土 ht,火一 qh,火大ql
戣,乛戈 vg,癶戈 bg,乛戈 vg,戈癸gg｜.gt,癶戈 hp,wg,乛戈 vg,乛一 vh,乛一vh
喟,口⺝ ko,口⺝ ko,口月 ko,口胃kw,口⺝ dv,kl,口月 ko,口丨 ks,口田kt
喹,口土 kt,口土 kt,口土 kt,口奎kk,口土 dg,kd,口土 kt,口一 kh,口大kl
篑,𥫗人 vr,竹贝 vb,𥫗人 vr,竹贵vg,⺮贝 ro,tk,𥫗人 vr,⺮人 gr,⺮贝gb
岿,山归 ug,山彐 ue,山彐 ee,山归ug,山彐 vb,mj,山归 sg,丨一 sh,山彐gx
暌,日天 ot,日天 ot,日天 ot,日天ot｜日癸og,日大 om,jw,日天 ot,日乛 lv,日乛lv
𫠆,支页 vy,支页 vy,十人 ur,.yv｜支页vy,支页 cw,fc,十人 ur,,
困,囗木 km,囗木 km,囗木 km,囗木km,囗木 re,ls,囗木 wl,丨一 sh,丨木sm
坤,土申 tu,土申 tu,土申 tu,土申tu,土丨 gg,fj,土申 tu,土日 tl,土日tl
捆,扌木 fm,扌木 fm,扌木 fm,扌困fk,扌木 ue,rl,扌木 fl,扌口 fk,扌丨fs
昆,日比 ob,日匕 ob,日匕 ob,日比ob,日匕 ov,jx,日匕 ob,日乛 lv,日乛lv
鲲,鱼昆 yk,鱼匕 yb,鱼匕 ab,鱼昆yk,鱼匕 wv,qg,⺈匕 eb,丿日 pl,⺈日gl
堃,方土 ft,方土 ft,方土 ft,土方tf,方土 lg,yy,方土 ft,丶土 dt,亠土wt
琨,𤣩匕 wb,𤣩匕 wb,王匕 wb,王昆wk,王匕 nv,gj,𤣩匕 wb,王日 wl,王日wl
髡,兀髟 wb,E兀 ew,一兀 aw,髟兀iw｜兀髟wb,镸儿 pp,de,长儿 ie,一乛 hv,一乛hv
鹍,日鸟 on,日鸟 on,日鸟 on,鸟昆nk,日鸟 ox,jx,日鸟 on,日丿 lp,日鸟ln
焜,火匕 hb,火匕 hb,火匕 hb,火昆hk,火匕 cv,oj,火匕 hb,火日 ql,火日ql
阃,门木 mm,门木 mm,门木 mm,门困mk,门木 ae,ul,门木 ml,丶木 dm,门一mh
醌,酉匕 yb,酉匕 yb,酉匕 yb,酉昆yk,酉匕 yv,sg,酉匕 yb,一日 hl,西日sl
悃,忄木 xm,忄木 xm,忄木 xm,忄困xk,忄木 he,nl,忄木 xl,忄丨 xs,忄丨xs
锟,钅匕 jb,钅匕 jb,钅匕 jb,钅昆jk,钅匕 zv,qj,钅匕 jb,钅日 jl,钅日jl
壸,士亚 uy,士业 ty,士亚 uy,士亚uy,士业 gc,fp,士亚 uy,土一 th,土一th
裈,衤车 pi,衤车 pi,衤车 pi,衤军yj,衤车 ty,pu,衤车 pi,丶丶 dd,丶丶dd
扩,扌广 fg,扌广 fg,扌广 fg,扌广fg,扌广 ux,ry,扌广 fg,扌丶 fd,扌广fx
阔,门口 mk,门舌 mu,门口 mk,门活mh,门舌 aa,ui,门口 mk,丶口 dk,门口mk
廓,广⻏ ge,广⻏ ge,广阝 ge,广郭gg,广阝 xt,yy,广⻏ ge,丶丨 ds,广阝xe
蛞,虫口 ik,虫舌 iu,虫口 ik,虫舌iu,虫舌 ca,jt,虫口 ik,虫丿 op,虫丿op
啦,口拉 kl,口立 kl,口立 kl,口拉kl,口立 di,kr,口立 kl,口扌 kf,口扌kf
拉,扌立 fl,扌立 fl,扌立 fl,扌立fl,扌立 ui,ru,扌立 fl,扌丶 fd,扌亠fw
辣,立束 lu,辛束 xu,立束 lu,辛束xu,束 nx,ug,立束 lu,丶一 dh,亠一wh
剌,束刂 ud,束刂 ud,束刂 ud,刂束du,束刂 xp,gk,束刂 ud,一丨 hs,一刂ho
喇,口刂 kd,口刂 kd,口刂 kd,口刂kd｜口剌kl,口刂 dp,kg,口刂 kd,口一 kh,口一kh
菈,艹拉 cl,艹立 cl,艹立 cl,艹拉cl,艹立 li,ar,,艹一 ch,
垃,土立 tl,土立 tl,土立 tl,土立tl,土立 gi,fu,土立 tl,土丶 td,土亠tw
落,艹口 ck,艹口 ck,艹口 ck,艹洛cl,艹各 ls,ai,艹口 ck,艹口 ck,艹氵cu
邋,辶{鼠下} zv,辶{鼠下} zv,辶乛 zv,辶巤zl｜辶鼠zu,巛辶 ou,vl,辶乛 zv,乛辶 vz,乛辶vz
镴,钅乛 jv,钅{鼠下} jv,钅乛 jv,钅巤jl,钅 zp,qv,钅乛 jv,钅乛 jv,钅乛jv
旯,日九 oj,日九 oj,日九 oj,日九oj,日九 ok,jv,日九 oj,日乛 lv,日乛lv
蝲,虫刂 id,虫刂 id,虫刂 id,虫刂id｜虫剌il,虫刂 cp,jg,虫刂 id,虫一 oh,虫一oh
揦,. fd,扌刂 fd,囗艹 fd,.fd｜扌剌fl,扌刂 up,rg,,扌一 fh,
瘌,疒刂 bd,疒刂 bd,疒刂 bd,疒刂bd｜疒剌bl,疒刂 ap,ug,疒刂 bd,丶丨 ds,疒刂zo
鞡,革拉 gl,革立 gl,革立 gl,革拉gl,革立 ti,af,廿立 cl,艹扌 cf,艹扌cf
𬶟,鱼剌 yl,鱼刂 yd,鱼刂 ad,鱼剌yl,鱼刂 wp,qg,鱼刂 yd,,
来,一米 am,一木 am,一乀 an,一米am｜未八wb,未丷 ah,go,一乀 an,一木 hm,一米hj
莱,艹来 cl,艹来 cl,艹来 cl,艹来cl,艹丷 lh,ag,艹来 cl,艹木 cm,艹丶cd
赖,束人 ur,束贝 ub,束人 ur,束负uf,束贝 xo,gk,束人 ur,一丿 hp,一⺈hg
铼,钅来 jl,钅来 jl,钅来 jl,钅来jl,钅丷 zh,qg,钅来 jl,钅一 jh,钅一jh
濑,氵人 dr,氵贝 db,氵人 dr,氵赖dl,氵贝 ko,ig,氵人 dr,氵一 uh,氵一uh
赉,来人 lr,来贝 lb,来人 lr,贝来bl,未贝 ao,go,来人 lr,一人 hr,一贝hb
徕,彳来 rl,彳来 rl,彳来 il,彳来xl,彳丷 wh,tg,彳来 rl,丿一 ph,彳一rh
涞,氵来 dl,氵来 dl,氵来 dl,氵来dl,氵丷 kh,ig,氵来 dl,氵一 uh,氵一uh
睐,目来 ol,目来 ol,目来 ol,目来ol,目丷 qh,hg,目来 ml,丨一 sh,目一lh
崃,山来 ul,山来 ul,山来 el,山来ul,山丷 vh,mg,山来 sl,丨一 sh,山一gh
籁,𥫗人 vr,竹贝 vb,𥫗人 vr,𥫗赖vl,⺮贝 ro,tg,𥫗人 vr,⺮人 gr,⺮贝gb
俫,亻来 rl,亻来 rl,亻来 rl,亻来rl,亻丷 jh,wg,亻来 rl,人一 rh,人一rh
梾,木来 ml,木来 ml,木来 ml,木来ml,木丷 eh,sg,木来 ll,木一 mh,木一mh
烂,火兰 hl,火兰 hl,火三 hs,火兰hl,火三 ct,ou,火三 hs,火丶 qd,火丶qd
蓝,艹皿 cm,艹皿 cm,艹皿 cm,艹监cj,艹皿 la,aj,艹皿 cm,艹一 ch,艹一ch
懒,忄人 xr,忄贝 xb,忄人 xr,忄赖xl,忄贝 ho,ng,忄人 xr,忄一 xh,忄一xh
兰,丷三 bs,丷三 bs,丷三 bs,丷三bs｜䒑二qe,丷三 ht,uf,丷三 es,丶一 dh,丶一dh
栏,木兰 ml,木兰 ml,木三 ms,木兰ml,木三 et,su,木三 ls,木丶 md,木丶md
揽,扌见 fj,扌见 fj,扌<见下部> fe,扌览fl,扌见 ue,rj,扌见 fj,扌丨 fs,扌丨fs
拦,扌兰 fl,扌兰 fl,扌三 fs,扌兰fl,扌三 ut,ru,扌三 fs,扌丶 fd,扌丶fd
篮,竹皿 vm,竹皿 vm,𥫗皿 vm,竹监vj,⺮皿 ra,tj,𥫗皿 vm,⺮一 gh,⺮一gh
岚,山风 uf,山风 uf,山乂 ex,山风uf,山乂 vb,mm,山乂 sx,丨丶 sd,山乂gc
滥,氵皿 dm,氵皿 dm,氵皿 dm,氵监dj,氵皿 ka,ij,氵皿 dm,氵丨 us,氵丨us
览,见{竹半} jv,丨见 lj,丨<见下部> le,见{竹半}jv,〢见 pe,jt,丨见 aj,丨乛 sv,丨乛sv
澜,氵柬 dj,氵柬 dj,氵柬 dj,氵阑dl,氵丷 kh,iu,氵柬 dj,氵丶 ud,氵门um
榄,木览 ml,木见 mj,木<见下部> me,木览ml,木见 ee,sj,木见 lj,木丨 ms,木丨ms
阑,门柬 mj,门柬 mj,门柬 mj,门柬mj,门丷 ah,ug,门柬 mj,丶丶 dd,门丶md
镧,钅柬 jj,钅柬 jj,钅柬 jj,金阑jl,钅丷 zh,qu,钅柬 jj,钅丶 jd,钅门jm
缆,纟见 sj,纟见 sj,纟<见下部> se,纟览sl,纟见 ie,xj,纟见 sj,纟丨 is,纟丨is
婪,木女 ln,木女 mn,木女 mn,女林nl,木女 eb,ss,木女 ln,木女 mn,木女mn
褴,衤皿 pm,衤皿 pm,衤皿 pm,衤监yj,衤皿 ta,pu,衤皿 pm,丶丨 ds,丶丨ds
斓,文柬 wj,文柬 wj,文柬 wj,文阑wl,文丷 vh,yu,文柬 wj,丶丶 dd,亠门wm
谰,讠柬 yj,讠柬 yj,讠柬 yj,讠阑yl,讠丷 sh,yu,讠柬 yj,讠丶 ad,讠门am
罱,罒干 sg,罒干 sg,罒干 sg,罒南sn,罒 yg,lf,罒十 su,丨丨 ss,丨十sf
襕,衤柬 pj,衤柬 pj,衤柬 pj,衤柬yj｜衤阑yl,衤丷 th,pu,衤柬 pj,丶丶 dd,丶门dm
漤,氵女 dn,氵女 dn,氵女 dn,氵婪dl,氵女 kb,is,氵女 dn,氵木 um,氵木um
𬒗,石览 ul,石见 uj,石<见下部> ue,石览ul,石见 me,dj,石见 uj,,
狼,犭良 ql,犭良 ql,犭良 ql,犭良ql,犭艮 mi,qt,犭[艮底] qh,丿丶 pd,犭丶qd
浪,氵良 dl,氵良 dl,氵良 dl,氵良dl,氵艮 ki,iy,氵[艮底] dh,氵丶 ud,氵丶ud
郎,丶阝 de,良⻏ le,丶阝 de,阝良el,丶阝 it,yv,丶⻏ de,丶乛 dv,丶阝de
朗,丶月 do,良月 lo,丶月 do,月良ol,丶月 iv,yv,丶月 do,丶月 dy,丶月dy
廊,广⻏ ge,广⻏ ge,广阝 ge,广郎gl,广阝 xt,yy,广⻏ ge,丶丨 ds,广阝xe
啷,口⻏ ke,口⻏ ke,口阝 ke,口郎kl,口阝 dt,ky,口⻏ ke,口丶 kd,口丶kd
琅,王良 wl,𤣩良 wl,王良 wl,王良wl,王艮 ni,gy,𤣩[艮底] wh,王丶 wd,王丶wd
烺,火良 hl,火良 hl,火良 hl,火良hl,火艮 ci,oy,火[艮底] hh,火丶 qd,火丶qd
螂,虫⻏ ie,虫⻏ ie,虫阝 ie,虫郎il,虫阝 ct,jy,虫⻏ ie,虫丶 od,虫丶od
崀,山良 ul,山良 ul,山良 el,山良ul,山艮 vi,my,山[艮底] sh,丨丶 sd,山丶gd
阆,门良 ml,门良 ml,门良 ml,门良ml,门艮 ai,uy,门[艮底] mh,丶丶 dd,门丶md
锒,钅良 jl,钅良 jl,钅良 jl,钅良jl,钅艮 zi,qy,钅[艮底] jh,钅丶 jd,钅丶jd
榔,木⻏ me,木⻏ me,木阝 me,木郎ml,木阝 et,sy,木⻏ le,木丶 md,木丶md
桹,木良 ml,木良 ml,木良 ml,木良ml,木艮 ei,sy,木[艮底] lh,木丶 md,木丶md
埌,土良 tl,土良 tl,土良 tl,土良tl,土艮 gi,fy,土[艮底] th,土丶 td,土丶td
塱,良土 lt,良土 lt,丶土 dt,土朗tl,丶土 ig,yv,朗土 lt,丶土 dt,丶土dt
莨,艹良 cl,艹良 cl,艹良 cl,艹良cl,艹艮 li,ay,艹[艮底] ch,艹丶 cd,艹丶cd
蒗,艹浪 cl,艹良 cl,艹良 cl,艹浪cl,艹艮 li,ai,艹[艮底] ch,艹丶 cd,艹氵cu
稂,禾良 hl,禾良 hl,禾良 hl,禾良hl,禾艮 xi,ty,禾[艮底] hh,禾丶 ed,禾丶ed
筤,𥫗良 vl,竹良 vl,𥫗良 vl,𥫗良vl,⺮艮 ri,ty,𥫗[艮底] vh,⺮丶 gd,⺮丶gd
㫰,日良 ol,日良 ol,日良 ol,日良ol,日艮 oi,jy,日[艮底] oh,日丶 ld,日丶ld
㮾,木朗 ml,良木 lm,丶木 dm,木朗ml,丶木 ie,yv,朗木 ll,丶木 dm,丶木dm
蓢,艹月 co,艹月 co,艹月 co,艹朗cl,艹月 lv,ay,艹月 co,艹月 cy,艹月cy
老,耂匕 lb,耂匕 lb,耂匕 lb,匕耂bl｜耂匕lb,老 ql,ft,十匕 ub,土乛 tv,土乛tv
捞,扌劳 fl,扌力 fl,扌力 fl,扌劳fl,扌力 us,ra,扌力 fl,扌艹 fc,扌艹fc
佬,亻匕 rb,亻老 rl,亻匕 rb,亻老rl,亻老 jq,wf,亻匕 rb,人土 rt,人土rt
唠,口劳 kl,口力 kl,口力 kl,口劳kl,口力 ds,ka,口力 kl,口艹 kc,口艹kc
劳,艹力 cl,艹力 cl,艹力 cl,力冖lb｜艹力cl,艹力 ls,ap,艹力 cl,艹丿 cp,艹力cl
牢,宀牛 bn,宀牛 bn,宀牛 bn,宀牛bn,宀牛 wq,pr,宀牛 gn,宀丨 bs,宀丨bs
烙,火口 hk,火口 hk,火口 hk,火各hg,火各 cs,ot,火口 hk,火丿 qp,火攵qw
铑,钅匕 jb,钅老 jl,钅匕 jb,金老jl,钅老 zq,qf,钅匕 jb,钅土 jt,钅土jt
涝,氵劳 dl,氵力 dl,氵力 dl,氵劳dl,氵力 ks,ia,氵力 dl,氵艹 uc,氵艹uc
醪,酉彡 yp,酉彡 yp,酉丿 yp,酉翏yl｜酉彡yp,酉彡 ye,sg,酉彡 yp,一乛 hv,西乛sv
酪,酉口 yk,酉口 yk,酉口 yk,酉各yg,酉各 ys,sg,酉口 yk,一丿 hp,西攵sw
痨,疒劳 bl,疒力 bl,疒力 bl,疒劳bl,疒力 as,ua,疒力 bl,丶丿 dp,疒力zl
铹,金劳 jl,钅力 jl,钅力 jl,金劳jl,钅力 zs,qa,钅力 jl,钅艹 jc,钅艹jc
嫪,女彡 np,女彡 np,女丿 np,女翏nl｜女彡np,女彡 be,vn,女彡 np,女乛 nv,女乛nv
崂,山劳 ul,山力 ul,山力 el,山劳ul,山力 vs,ma,山力 sl,丨艹 sc,山艹gc
栳,木老 ml,木老 ml,木匕 mb,木老ml,木老 eq,sf,木匕 lb,木土 mt,木土mt
荖,艹匕 cb,艹老 cl,艹匕 cb,艹老cl,艹老 lq,af,艹匕 cb,艹乛 cv,艹乛cv
络,纟口 sk,纟口 sk,纟口 sk,纟各sg,纟各 is,xt,纟口 sk,纟丿 ip,纟攵iw
耢,耒劳 ll,耒力 ll,耒力 ll,耒劳ll,耒力 as,di,丰力 fl,一艹 hc,一艹hc
𫭼,土劳 tl,土力 tl,土力 tl,土劳tl,土力 gs,fa,土力 tl,,
了,乛亅 vu,乛亅 al,乛丨 vl,乛亅aa｜乛亅vu,了 rl,bn,乛乛 vv,乛丨 vs,乛丨vs
勒,革力 gl,革力 gl,革力 gl,力革lg｜革力gl,革力 ts,af,廿力 cl,艹乛 cv,艹力cl
叻,口力 kl,口力 kl,口力 kl,口力kl,口力 ds,kl,口力 kl,口乛 kv,口力kl
仂,人力 rl,亻力 rl,亻力 rl,亻力rl,亻力 js,wl,亻力 rl,人乛 rv,人力rl
鳓,鱼勒 yl,鱼力 yl,鱼力 al,鱼勒yl,鱼力 ws,qg,⺈力 el,丿艹 pc,⺈艹gc
簕,𥫗勒 vl,竹力 vl,𥫗力 vl,𥫗勒vl,⺮力 rs,ta,𥫗力 vl,⺮丿 gp,⺮力gl
泐,氵力 dl,氵力 dl,氵力 dl,氵力dl,氵力 ks,ib,氵力 dl,氵乛 uv,氵阝ue
嘞,口勒 kl,口力 kl,口力 kl,口勒kl,口力 ds,ka,口力 kl,口艹 kc,口艹kc
类,米大 md,米大 md,米大 md,米大md,米大 pm,od,米大 md,丶丶 dd,米大jl
累,田糸 tx,田糸 tx,田小 tx,糸田st｜田糸ts,田糸 qi,lx,田小 tx,丨纟 si,田纟ti
雷,雨田 yt,雨田 yt,雨田 yt,雨田yt,⻗田 tq,fl,雨田 yt,一一 hh,雨田yt
泪,氵目 do,氵目 do,氵目 do,氵目do,氵目 kq,ih,氵目 dm,氵丨 us,氵目ul
垒,厶土 st,厶土 st,厶土 st,厶土st｜土厽tl,厶土 kg,cc,厶土 vt,乛土 vt,厶土it
蕾,艹田 ct,艹田 ct,艹田 ct,艹雷cl,艹田 lq,af,艹田 ct,艹一 ch,艹田ct
镭,钅田 jt,钅田 jt,钅田 jt,金雷jl,钅田 zq,qf,钅田 jt,钅一 jh,钅雨jy
磊,石石 uu,石石 uu,石石 uu,石石uu,石石 mm,dd,石口 uk,一口 hk,石石bb
擂,扌田 ft,扌田 ft,扌田 ft,扌雷fl,扌田 uq,rf,扌田 ft,扌一 fh,扌雨fy
罍,田缶 tf,田缶 tf,田缶 tf,缶畾fl,田缶 qa,ll,田缶 tf,丨丨 ss,田丨ts
诔,言耒 yl,讠耒 yl,讠耒 yl,言耒yl,讠耒 sa,yd,讠乀 yn,讠一 ah,讠一ah
羸,亡凡 wf,亡羊 wy,亡凡 wf,亡凡wf｜羊口yk,亡丶 fi,yn,亡凡 wf,丶丶 dd,亠丶wd
酹,酉寸 yc,酉寸 yc,酉寸 yc,酉寸yc｜酉寽yl,酉寸 yk,sg,酉寸 yc,一丿 hp,西丿sp
耒,三小 sx,𰀁木 fm,"丰乀 an,fn",一丶ad｜三小sx,耒 al,di,丰乀 fn,一木 hm,一丶hd
嫘,女糸 nx,女糸 nx,女小 nx,女累nl,女糸 bi,vl,女小 nx,女丨 ns,女田nt
缧,纟糸 sx,纟糸 sx,纟小 sx,纟累sl,纟糸 ii,xl,纟小 sx,纟丨 is,纟田it
儡,人田 rt,亻田 rt,亻田 rt,亻畾rl｜亻田rt,亻田 jq,wl,亻田 rt,人丨 rs,人田rt
藟,艹田 ct,艹田 ct,艹田 ct,艹畾cl,艹田 lq,al,艹田 ct,艹一 ch,艹田ct
檑,木田 mt,木田 mt,木田 mt,木雷ml,木田 eq,sf,木田 lt,木一 mh,木雨my
礌,石田 ut,石田 ut,石田 ut,石雷ul,石田 mq,df,石田 ut,一一 hh,石雨by
癗,疒田 bt,疒田 bt,疒田 bt,疒雷bl,疒田 aq,uf,疒田 bt,丶一 dh,疒田zt
冷,冫龴 ds,冫龴 ds,冫龴 ds,冫令dl,冫龴 wk,uw,冫龴 dv,丶人 dr,丶人dr
楞,木方 mf,木方 mf,木方 mf,木方mf,木方 el,sl,木方 lf,木丨 ms,木丨ms
愣,忄方 xf,忄方 xf,忄方 xf,忄方xf,忄方 hl,nl,忄方 xf,忄丨 xs,忄丨xs
棱,木夂 mw,木夂 mw,木夂 mw,木夌ml｜木夂mw,木夊 eh,sf,木夂 lw,木土 mt,木土mt
塄,土方 tf,土方 tf,土方 tf,土方tf,土方 gl,fl,土方 tf,土丨 ts,土丨ts
堎,土夂 tw,土夂 tw,土夂 tw,土夌tl,土夊 gh,ff,土夂 tw,土土 tt,土土tt
里,里一 la,田土 tt,丨一 la,丨一aa｜田土tt,里 dl,jf,丨一 aa,日土 lt,日土lt
离,亠丶 wd,亠禸 wn,亠丶 wd,亠厶ws｜亠{离下}wl,亠禸 zv,yb,亠丶 wd,丶丶 dd,亠丶wd
力,乛丿 vp,𠃌丿 vp,乛丿 vp,𠃌丿gp,力 sl,lt,乛丿 vp,乛丿 vp,力丿lp
李,木子 mz,木子 mz,木子 mz,木子mz,木子 eh,sb,木子 lz,木一 mh,木子mz
例,亻刂 rd,亻刂 rd,亻刂 rd,亻列rl,亻刂 jp,wg,亻刂 rd,人一 rh,人一rh
